Number,Party,Abbreviation,Presidential Candidate,Running Mate
1,New Patriotic Party,NPP,Mahamudu Bawumia,Matthew Opoku Prempeh
2,Great Consolidated Popular Party,GCPP,Daniel Augustus Lartey,
3,Ghana Freedom Party,GFP,Akua Donkor (died on October 28th),Kwabena Agyeman Appiah Kubi[70]
4,Ghana Union Movement,GUM,Christian Kwabena Andrews,Evelyn Serwaa Bonsu[71]
5,Liberal Party of Ghana,LPG,Kofi Akpaloo,Elizabeth Sam[72]
6,National Democratic Party,NDP,Mohammed Frimpong,
7,Convention People's Party,CPP,Nana Akosua Frimpomaa Kumankuma,Wayoe Ghanamannti
8,National Democratic Congress,NDC,John Dramani Mahama,Jane Naana Opoku-Agyemang
9,All People's Congress,APC,Hassan Abdulai Ayariga,Samuel Mensah[73]
10,Independent,,Kofi Koranteng,
11,Independent,,George Twum-Barima-Adu,Nyaaba-Aweeba Azongo[74][75]
12,Independent,,Nana Kwame Bediako,Maryam Esaka Kriesie[76]
13,Independent,,Alan John Kwadwo Kyerematen,Kwame Owusu Danso[77]
14,Independent,,Lord Osei,Philip Agomor[78]
Source:Graphic Online,,,,
