Constituency,Elected MP[6],Elected Party,Majority,Previous MP[7],Previous Party
Asunafo North,Mohammed Haruna,NDC,,Evans Bobie Opoku,NPP
Asunafo South,Eric Opoku[8],NDC,900,Eric Opoku,NDC
Asutifi North,Ebenezer Kwaku Addo,NDC,,Patrick Banor,NPP
Asutifi South,Collins Dauda,NDC,,Collins Dauda,NDC
Tano North,Gideon Boako[9],NPP,"3,420",Freda Prempeh,NPP
Tano South,Charles Asiedu[10],NDC,"1,898",Benjamin Yeboah Sekyere,NPP
Adansi-Akrofuom,Joseph Azumah,NDC,,Alex Blankson,NPP
Adansi-Asokwa,Godwin Animli Dzogbazi-Dorani,NDC,944,Kobina Tahir Hammond,NPP
Afigya Kwabre North,Collins Adomako-Mensah,NPP[14],,Collins Adomako-Mensah,NPP
Afigya Kwabre South,Damata Ama Appianimaa Salam[15],NPP,,William Owuraku Aidoo,NPP
Afigya Sekyere East,Mavis Nkansah Boadu,NPP,,Mavis Nkansah Boadu,NPP
Ahafo Ano North,,,,Suleman Adamu Sanid,NPP
Ahafo Ano South East,Yakubu Mohammed,NDC,,Francis Manu-Adabor,NPP
Ahafo Ano South West,,,,Johnson Kwaku Adu,NPP
Asante-Akim Central,Kwame Anyimadu - Antwi,NPP,,Kwame Anyimadu - Antwi,NPP
Asante-Akim North,Ohene Kwame Frimpong,IND,,Andy Kwame  Appiah-Kubi,NPP
Asante-Akim South,Kwaku Asante - Boateng,NPP,,Kwaku Asante - Boateng,NPP
Asawase,Mubarak Mohammed Muntaka,NDC,,Mubarak Mohammed Muntaka,NDC
Asokwa,Patricia Appiagyei,NPP,,Patricia Appiagyei,NPP
Atwima-Kwanwoma,Kofi Amankwa-Manu,NPP,,Kofi Amankwa-Manu,NPP
Atwima-Mponua,Seth Osei-Akoto,NPP,,Isaac Kwame Asiamah,NPP
Atwima-Nwabiagya North,Frank Yeboah,NPP,,Benito Owusu Bio,NPP
Atwima-Nwabiagya South,Shirley Kyei[15],NPP,,Emmanuel Adjei Anhwere,NPP
Bantama,Francis Asenso -Boakye,NPP,,Francis Asenso -Boakye,NPP
Bekwai,Ralph Poku-Adusei,NPP,,Joseph Osei-Owusu,NPP
Bosome-Freho,Nana Asafo-Adjei Ayeh,NPP,,Akwasi Darko Boateng,NPP
Bosomtwe,Yaw Osei Adutwum[15],NPP,,Yaw Osei Adutwum,NPP
Effiduase-Asokore,Nana Ayew Afriyie,NPP,,Nana Ayew Afriyie,NPP
Ejisu,Kwabena Boateng,NPP,,Kwabena Boateng[16],NPP
Ejura-Sekyedumase,Muhammad Bawah Braimah,NDC,,Muhammad Bawah Braimah,NDC
Fomena (Adansi North),Andrew Asiamah Amoako,NPP,,Andrew Asiamah Amoako(Second Deputy Speaker),IND
Juaben,Francis Kwabena B Owusu-Akyaw,NPP,,Ama Pomaa Boateng,NPP
Kumawu,Ernest Yaw Anim,NPP,,Ernest Yaw Anim[17],NPP
Kwabre East,Onyina-Acheampong Akwasi Gyamfi[15],NPP,,Francisca Oteng Mensah,NPP
Kwadaso,Kingsley Nyarko,NPP,,Kingsley Nyarko,NPP
Mampong,Kwaku Ampratwum-Sarpong,NPP,,Kwaku Ampratwum-Sarpong,NPP
Manhyia North,Akwasi Konadu,NPP,,Akwasi Konadu,NPP
Manhyia South,Nana Agyei Baffour Awuah,NPP,,Matthew Opoku Prempeh,NPP
Manso Edubia,Frimpong Yaw Addo,NPP,,Frimpong Yaw Addo,NPP
Manso Nkwanta,Tweneboa Kodua Fokuo,NPP,,George Kwabena Obeng Takyi,NPP
New Edubease,Adams Abdul Salam,NDC,,Adams Abdul Salam,NDC
Nhyiaeso,Stephen Amoah,NPP,,Stephen Amoah,NPP
Nsuta-Kwamang-Beposo,Adelaide Ntim,NPP,,Adelaide Ntim,NPP
Obuasi East,,,,Patrick Boakye-Yiadom,NPP
Obuasi West,Kwaku Agyemang Kwarteng,NPP,,Kwaku Agyemang Kwarteng,NPP
