District,Capital,Constituency,Comments,Region
Asunafo North Municipal,Goaso,Asunafo North,,Ahafo
Asunafo South,Kukuom,Asunafo South,,Ahafo
Asutifi North,Kenyasi,Asutifi North,,Ahafo
Asutifi South,Hwidiem,Asutifi South,,Ahafo
Tano North Municipal,Duayaw Nkwanta,Tano North,,Ahafo
Tano South Municipal,Bechem,Tano South,,Ahafo
Abura Asebu Kwamankese,Abura-Dunkwa,Abura-Asebu-Kwamankese,,Ashanti
Adansi North,Fomena,Fomena,,Ashanti
Adansi South,New Edubiase,New Edubease,,Ashanti
Afigya Kwabre North,Boamang,Afigya Kwabre North,,Ashanti
Afigya Kwabre South,Kodie,Afigya Kwabre South,,Ashanti
Ahafo Ano North Municipal,Tepa,Ahafo Ano North,,Ashanti
Ahafo Ano South East,Dwinyame / Adugyama,Ahafo Ano South East,Created 2012,Ashanti
Ahafo Ano South West,Mankranso,Ahafo Ano South West,,Ashanti
Akrofuom,Akrofuom,Akrofuom,Created 2004,Ashanti
Amansie Central,Jacobu,Odotobri,,Ashanti
Amansie South,Manso Adubia,Manso Edubia,Created 2012,Ashanti
Amansie West,Manso Nkwanta,Manso Nkwanta,,Ashanti
Asante Akim Central Municipal,Konongo,Asante Akim Central,,Ashanti
Asante Akim North,Agogo,Asante Akim North,Created 2012,Ashanti
Asante Akim South Municipal,Juaso,Asante Akim South,,Ashanti
Asokore Mampong,Asokore Mampong,Asawase,Created 2004,Ashanti
Asokwa Municipal,Asokwa,Asokwa,,Ashanti
Atwima Kwanwoma,Twedie,Atwima-Kwanwoma,,Ashanti
Atwima Mponua,Nyinahin,Atwima Mponua,,Ashanti
Atwima Nwabiagya Municipal,Nkawie,Atwima-Nwabiagya South,,Ashanti
Atwima Nwabiagya North,Barekese,Atwima-Nwabiagya North,Created 2012,Ashanti
Bekwai Municipal,Bekwai,Bekwai,,Ashanti
Bosome Freho,Asiwa,Bosome-Freho,,Ashanti
Bosomtwe,Kuntanse,Bosomtwe,,Ashanti
Ejisu Municipal,Ejisu,Ejisu,,Ashanti
Ejura Sekyedumase Municipal,Ejura,Ejura-Sekyedumase,,Ashanti
Juaben Municipal,Juaben,Juaben,Created 2012,Ashanti
Kumasi Metropolitan,Kumasi,Bantama,,Ashanti
Kumasi Metropolitan,Kumasi,Manhyia North,Created 2012,Ashanti
Kumasi Metropolitan,Kumasi,Manhyia South,,Ashanti
Kumasi Metropolitan,Kumasi,Nhyiaeso,Created 2004,Ashanti
Kumasi Metropolitan,Kumasi,Subin,,Ashanti
Kwabre East Municipal,Mamponteng,Kwabre East,,Ashanti
Kwadaso Municipal,Kwadaso,Kwadaso,Created 2004,Ashanti
Mampong Municipal,Mampong,Mampong,,Ashanti
Obuasi East Municipal,Tutuka,Obuasi East,Created 2012,Ashanti
Obuasi Municipal,Obuasi,Obuasi West,,Ashanti
Offinso Municipal,Offinso,Offinso South,,Ashanti
Offinso North,Akomadan,Offinso North,,Ashanti
Oforikrom Municipal,Oforikrom,Oforikrom,,Ashanti
Old Tafo Municipal,Old Tafo,Old Tafo,Created 2004,Ashanti
Sekyere Afram Plains,Drobonso,Sekyere Afram Plains,Created 2012,Ashanti
Sekyere Central,Nsuta,Nsuta-Kwamang,,Ashanti
Sekyere East,Effiduase,Afigya Sekyere East,,Ashanti
Sekyere Kumawu,Kumawu,Kumawu,,Ashanti
Sekyere South,Agona,Effiduase-Asokore,,Ashanti
Suame Municipal,Suame,Suame,Created 2004,Ashanti
Banda,Banda Ahenkro,Banda Ahenkro,Created 2012,Bono
Berekum East Municipal,Berekum,Berekum East,,Bono
Berekum West,Jinijini,Berekum West,Created 2012,Bono
Dormaa Central Municipal,Dormaa Ahenkro,Dormaa Central,,Bono
Dormaa East District,Wamfie,Dormaa East,,Bono
Dormaa West,Nkrankwanta,Dormaa West,Created 2012,Bono
Jaman North,Sampa,Jaman North,Created 2004,Bono
Jaman South Municipal,Drobo,Jaman South,,Bono
Sunyani Municipal,Sunyani,Sunyani East,,Bono
