Item,Total,Year
Valid votes,"13,119,460",2020
Invalid/blank votes,"313,397",2020
Total votes,"13,432,857",2020
Registered voters/turnout,"17,027,941",2020
Valid votes,"11,191,513",2024
Invalid/blank votes,"239,109",2024
Total votes,"11,430,622",2024
Registered voters/turnout,"18,774,159",2024
Valid votes,"10,787,484",2016
Invalid/blank votes,"111,137",2016
Total votes,"10,898,621",2016
Registered voters/turnout,"15,639,690",2016
Valid votes,"10,995,262",2012
Invalid/blank votes,"251,720",2012
Total votes,"11,246,982",2012
Registered voters/turnout,"14,158,890",2012
