continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,median_age,aged_65_older,aged_70_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hosp_patients,hosp_patients_per_million,weekly_icu_admissions
Africa,Africa,3/21/2020,1172,204,131.14,36,10,4.14,0.87,0.15,0.1,0.03,0.01,1340598113,,,,,,,,,,
Africa,Africa,3/22/2020,1437,265,160.57,48,12,5.71,1.07,0.2,0.12,0.04,0.01,1340598113,,,,,,,,,,
Africa,Africa,3/23/2020,1818,381,202.57,57,9,7,1.36,0.28,0.15,0.04,0.01,1340598113,,,,,,,,,,
Africa,Africa,3/24/2020,2250,432,252.29,64,7,7.57,1.68,0.32,0.19,0.05,0.01,1340598113,,,,,,,,,,
Africa,Africa,3/25/2020,2773,523,310.43,73,9,8,2.07,0.39,0.23,0.05,0.01,1340598113,,,,,,,,,,
Africa,Africa,3/26/2020,3326,553,363.71,91,18,10.14,2.48,0.41,0.27,0.07,0.01,1340598113,,,,,,,,,,
Africa,Africa,3/28/2020,4225,340,436.14,134,19,14,3.15,0.25,0.33,0.1,0.01,1340598113,,,,,,,,,,
Africa,Africa,3/29/2020,4785,560,478.29,152,18,14.86,3.57,0.42,0.36,0.11,0.01,1340598113,,,,,,,,,,
Africa,Africa,6/8/2020,196198,6648,6264.86,5363,175,145.71,146.35,4.96,4.67,4,0.13,1340598113,,,,,,,,,,
Africa,Africa,6/9/2020,202670,6472,6491.57,5538,175,149.14,151.18,4.83,4.84,4.13,0.13,1340598113,,,,,,,,,,
Africa,Africa,6/15/2020,251184,9621,7855.14,6762,303,199.86,187.37,7.18,5.86,5.04,0.23,1340598113,,,,,,,,,,
Africa,Africa,6/16/2020,258797,7613,8018.14,7015,253,211,193.05,5.68,5.98,5.23,0.19,1340598113,,,,,,,,,,
Africa,Africa,6/22/2020,315370,8989,9169.43,8338,223,225.14,235.25,6.71,6.84,6.22,0.17,1340598113,,,,,,,,,,
Africa,Africa,6/23/2020,324421,9051,9374.86,8620,282,229.29,242,6.75,6.99,6.43,0.21,1340598113,,,,,,,,,,
Africa,Africa,6/25/2020,347729,11950,10278,9069,214,235.71,259.38,8.91,7.67,6.77,0.16,1340598113,,,,,,,,,,
Africa,Africa,6/26/2020,359306,11577,10528.14,9282,213,228.57,268.02,8.64,7.85,6.92,0.16,1340598113,,,,,,,,,,
Africa,Africa,6/28/2020,382237,10647,10836.57,9663,179,221.14,285.12,7.94,8.08,7.21,0.13,1340598113,,,,,,,,,,
Africa,Africa,6/29/2020,393285,11048,11130.71,9879,216,220.14,293.37,8.24,8.3,7.37,0.16,1340598113,,,,,,,,,,
Africa,Africa,7/1/2020,418128,13227,11764.14,10405,259,221.43,311.9,9.87,8.78,7.76,0.19,1340598113,,,,,,,,,,
