continent,location,date,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,life_expectancy,human_development_index
Europe,Andorra,11/2/2020,,85772,1110.102,,,,,,,,,,,,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,11/9/2020,,92183,1193.076,,0.086,11.7,,,,,,,,,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,11/16/2020,,97416,1260.804,,0.091,11,,,,,,,,,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,1/4/2021,,127577,1651.162,,,,,,,,,,,,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,1/11/2021,,130657,1691.024,,0.109,9.1,,,,,,,,,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,1/18/2021,,134259,1737.643,,0.138,7.3,,,,,,,,,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,1/25/2021,,140701,1821.019,,0.08,12.6,576,576,,,0.75,0.75,,,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,2/1/2021,,144933,1875.791,,0.089,11.3,1036,1036,,,1.34,1.34,,854,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,2/8/2021,,148604,1923.303,,0.083,12.1,,,,,,,,362,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,2/15/2021,,152578,1974.736,,0.066,15.1,,,,,,,,1126,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,2/22/2021,,154962,2005.591,,0.073,13.7,,,,,,,,828,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,3/1/2021,,157356,2036.575,,0.074,13.5,,,,,,,,1035,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,3/8/2021,,159725,2067.236,,0.076,13.1,3611,2439,1172,,4.67,3.16,1.52,1398,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,3/15/2021,,162071,2097.599,,0.094,10.7,8363,7098,1265,,10.82,9.19,1.64,8788,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,3/22/2021,,164665,2131.172,,0.099,10.1,,,,,,,,2809,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,3/29/2021,,168244,2177.493,,0.096,10.4,,,,,,,,2550,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,4/5/2021,,171485,2219.44,,0.123,8.1,15269,9781,4484,2829,19.76,12.66,5.8,7416,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,4/12/2021,,173789,2249.259,,0.128,7.8,19064,,,1973,24.67,,,7015,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,4/19/2021,,177079,2291.84,,0.068,14.7,26414,21733,4681,,34.19,28.13,6.06,13590,,,,,109.135,7.97,,83.73,0.868
Europe,Andorra,4/26/2021,,180633,2337.837,,0.078,12.8,,,,,,,,,,,,,109.135,7.97,,83.73,0.868
Europe,Liechtenstein,5/23/2020,15,15,0.393,0.393,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/24/2020,5,20,0.524,0.131,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/25/2020,126,146,3.828,3.304,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/26/2020,115,261,6.844,3.015,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/27/2020,94,355,9.309,2.465,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/28/2020,40,395,10.357,1.049,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/29/2020,29,424,11.118,0.76,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/30/2020,3,427,11.196,0.079,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,5/31/2020,14,441,11.564,0.367,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/1/2020,10,451,11.826,0.262,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/2/2020,147,598,15.68,3.855,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/3/2020,108,706,18.512,2.832,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/4/2020,76,782,20.505,1.993,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/5/2020,22,804,21.082,0.577,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/6/2020,4,808,21.187,0.105,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/7/2020,12,820,21.501,0.315,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/8/2020,111,931,24.412,2.911,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/9/2020,82,1013,26.562,2.15,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/10/2020,78,1091,28.607,2.045,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/11/2020,5,1096,28.738,0.131,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/12/2020,19,1115,29.237,0.498,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/13/2020,2,1117,29.289,0.052,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/14/2020,7,1124,29.473,0.184,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/15/2020,129,1253,32.855,3.383,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/16/2020,116,1369,35.897,3.042,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/17/2020,92,1461,38.309,2.412,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/18/2020,30,1491,39.096,0.787,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/19/2020,29,1520,39.856,0.76,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/20/2020,1,1521,39.883,0.026,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/21/2020,6,1527,40.04,0.157,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/22/2020,37,1564,41.01,0.97,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/23/2020,32,1596,41.849,0.839,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/24/2020,34,1630,42.741,0.892,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/25/2020,23,1653,43.344,0.603,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/26/2020,25,1678,43.999,0.656,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/27/2020,2,1680,44.052,0.052,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/28/2020,1,1681,44.078,0.026,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/29/2020,150,1831,48.011,3.933,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,6/30/2020,103,1934,50.712,2.701,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/1/2020,97,2031,53.255,2.543,0.002,500,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/2/2020,60,2091,54.829,1.573,0.002,500,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/3/2020,38,2129,55.825,0.996,0.002,500,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/4/2020,8,2137,56.035,0.21,0.002,500,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/5/2020,19,2156,56.533,0.498,0.004,250,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/6/2020,42,2198,57.634,1.101,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/7/2020,35,2233,58.552,0.918,0.007,142.9,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/8/2020,32,2265,59.391,0.839,0.004,250,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/9/2020,24,2289,60.02,0.629,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/10/2020,26,2315,60.702,0.682,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/11/2020,4,2319,60.807,0.105,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/12/2020,15,2334,61.2,0.393,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/13/2020,145,2479,65.002,3.802,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/14/2020,87,2566,67.284,2.281,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/15/2020,73,2639,69.198,1.914,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/16/2020,36,2675,70.142,0.944,0.003,333.3,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/17/2020,38,2713,71.138,0.996,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/18/2020,7,2720,71.322,0.184,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/19/2020,12,2732,71.636,0.315,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/20/2020,43,2775,72.764,1.128,0.007,142.9,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/21/2020,31,2806,73.577,0.813,0.008,125,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/22/2020,33,2839,74.442,0.865,0.01,100,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/23/2020,27,2866,75.15,0.708,0.005,200,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/24/2020,22,2888,75.727,0.577,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/25/2020,2,2890,75.779,0.052,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/26/2020,10,2900,76.042,0.262,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/27/2020,112,3012,78.978,2.937,0.004,250,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/28/2020,78,3090,81.024,2.045,0.007,142.9,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/29/2020,83,3173,83.2,2.176,0.006,166.7,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/30/2020,39,3212,84.223,1.023,0.006,166.7,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,7/31/2020,25,3237,84.878,0.656,0.006,166.7,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,8/1/2020,3,3240,84.957,0.079,0.006,166.7,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,8/2/2020,8,3248,85.167,0.21,0.006,166.7,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,8/3/2020,49,3297,86.451,1.285,0.004,250,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,8/4/2020,24,3321,87.081,0.629,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
Europe,Liechtenstein,8/5/2020,28,3349,87.815,0.734,0,,,,,,,,,,,,,,,7.77,,82.49,0.919
